Company Name,Industries,Website,Specialties,Size,Headquarters,OrganizationType,FoundedOn,Followers,Branches,Employees
CodersBrain,IT Services and IT Consulting,https://www.codersbrain.com/,"OPEN SOURCE TECHNOLOGIES, ERP SOLUTIONS, ECOMMERCE SOLUTIONS, CRM, WEB DESIGN AND GRAPHICS DESIGN, WEB APPLICATION DEVELOPMENT, GAME DEVELOPMENT, DIGITAL MARKETING, NETWORK ADMINISTRATION SERVICES, CONSULTANCY, ENTERPRISES SOFTWARE, HARDWARE AND NETWORK SUPPORT, ADVERTISEMENT, and MOBILE APP DEVELOPMENT",201-500 employees,"Bengaluru, Karnataka",Privately Held,2015,"100,089 followers","#1245, 27th Main Rd, HSR Layout, Sector 2, Bangalore 560102, INDIA,  Bengaluru, Karnataka560102, IN","Arunkumar Pilaka, Gaurav Sharma, Tanuj Uppal, Rajendra T N"
Codingmart Technologies,Software Development,https://www.codingmart.com/,"Web & mobile applications, Python, Angular JS, React JS, Hybrid Apps, NodeJs, GoLang, and ReactNative",201-500 employees,"Bangalore, Karnataka",Privately Held,2012,"11,066 followers","3rd floor, MDS Group Signature, 5th Block, 1st Stage, HBR Layout, Bangalore, Karnataka 560045, IN  ;  2nd floor, Shiv Chambers, 247, Alagesan Road, Sai Baba Colony, Coimbatore, Tamil Nadu 641011, IN","Sathish Balakrishnan, Karthikeyan Velumani, THAMIZHARASAN R, Senthil Kumar"
Deqode,IT Services and IT Consulting,https://www.deqode.com,"Blockchain, Software, Development, Technology, Solutions, Consultancy, and Application",201-500 employees,"San Jose, California",Privately Held,2016,"26,545 followers","2690 Ramsdell Pl. San Jose,  San Jose, California 95148, US  ;  Deqode India, 8th Floor, Atulya IT Park, Bhawarkua Main Rd, Indore, Madhya Pradesh 452014, IN  ;  C-304, Lalwani house, Sakore Nagar road, Ganga Hamlet, Viman Nagar,(Landmark: Axis bank) , Pune, Maharashtra 411014, IN  ;  Bangalore,  Bangalore, IN  ;  Dubai,  Dubai, AE","Latha Sharma, Ankur Maheshwari, Sangeeta Kumari, Nilesh Soni"
OnGraph Technologies Limited,IT Services and IT Consulting,https://www.ongraph.com,"Enterprise solutions, Mobile Application Development, CMS based solutions, Business Analysis, Blockchain, ChatBot Development, VoiceBot Development, Map Integerated Apps, Business Intelligence, Artificial Intelligence, Machine Learning, Market Research Solutions, Virtual Reality, Marketplace Solutions, Logistics & Warehousing Solutions, eCommerce & Social Commerce, Augmented Reality, Employee Benefits Solutions, eLearning Solutions, Travel & Transportation Solution, Real Estate, and Retail",201-500 employees,"Hicksville, New York",Privately Held,2008,"25,189 followers","OnGraph Technologies LLC120 Bethpage Rd , Suite 304, Hicksville, New York 11801, US  ;  125, Homefield Park, Sutton, Surrey, Surrey SM12DY, GB  ;  L-1, Noida Special Economic Zone, Phase 2,  Noida, UP 201305, IN  ;  B-4, Govardhan Enclave, Yudhishtir Marg, C-Scheme, Jaipur, Rajasthan 302001, IN  ;  G-3A, Amaya Maluri,, Jalan Jejaka 2, Taman Maluri,, Kuala Lampur, Malaysia 55100, MY  ;  1039 Cedarglen Gate,  Mississauga, Ontario L5C 3A7, CA","OnGraph, Ankur Jain, Bhola Sharma, Nikhil Verma, Wasim Akhtar Khan"
GVM Technologies LLP,IT Services and IT Consulting,https://gvmtechnologies.com,"Web development, Web design, Software development, Mobile application development, SQL server, WCF, PHP, MySQL, Android, iOS, WPF, ROR, digital marketing, search engine optimization, social media marketing , wordpress development, magento customization, ecommerce solutions, enterprise erp solutions, Quality assurance, shopify development, Custom software development, and asp.net development",11-50 employees,"Surat, Gujarat",Partnership,2012,"1,407 followers","106, Siddh Chembers, Taratiya hanuman seri, Gujjar faliyu, Haripura, Surat, Gujarat 395003, IN","Anvesh Prajapati, Kalpana Sharma, Ajit pal, Zeel Shah"
SquareShift,Information Technology & Services,https://www.squareshift.com,"aws, elastic, elasticsearch, cloud, cloud migration, app development, Java, Data engineering, Data Analytics, SIEM, Observability, cloud computing, devops, devsecops, Managed Cloud, SOC, Business Intelligence, Looker, Data Visualization, Data Engineering, BigQuery, and Google Cloud",51-200 employees,"Dublin, California",Privately Held,2019,"5,657 followers","Dublin, California 94568, US  ;  Singapore, Singapore 821107, SG  ;  Chennai, IN  ;  Bengaluru, Karnataka, IN  ;  Hyderabad, IN","Aananth Solaiyappan, Muthu Kumar, Rahul Anand, Mohana Devi"
Codezen Tech Solutions,Software Development,https://codezen.in,None,11-50 employees,"Mumbai, Maharashtra",Privately Held,2016,"1,016 followers","Western Express Highway,  Mumbai, Maharashtra, IN","Shubham Bhartiya, Rahul Ghanekar, Vijay Premi, Abhinav Sharma"
NeoSOFT,IT Services and IT Consulting,https://www.neosofttech.com,"Software Development Services, Enterprise Mobility Solutions, UI/UX, AI/ML, SAP, ERP, ELearning Solutions, eCommerce solutions, DevOps, QA & Testing, Robotic Process Automation, Internet of Things, Cloud Computing, Product Engineering, Enterprise Digital Transformation, Data Science, Software Consulting, Blockchain, and Web Development","1,001-5,000 employees","Mumbai, Maharashtra",Privately Held,1996,"74,479 followers","29, Senapati Bapat Marg,  Mumbai, Maharashtra 400028, IN  ;  501, Sigma IT Park,  Navi Mumbai, Maharashtra 400 701, IN  ;  Qubix SEZ,  Pune, Maharashtra 411057, IN  ;  Salarpuria Towers - I, Hosur Road, 4th Floor, No. 22, 5th Block, Bengaluru, Karnataka 560095, IN  ;  Westgate, Sarkhej - Gandhinagar Hwy, 21st floor, D block, Ahmedabad, Gujarat 380015, IN  ;  D Block, Sector 63,  Noida, Uttar Pradesh 201301, IN  ;  Apollo Premier,  Indore, Madhya Pradesh 452001, IN","Nikhil Rathi, Zoher Aga, Sunil Nerurkar, Saumil Shah"
Senrysa Technologies Private Limited,IT Services and IT Consulting,http://www.senrysa.com,"Financial Inclusion, Payment System, MicroATM, eGovernance, eCommerce, Cognitive Technologies, Digital Branding & Marketing, BFSI, Application Development, mobility, Data Management & Business Intelligence, IT Infrastructure Management, and Internet of Things(IoT)",51-200 employees,"Kolkata, West Bengal",Public Company,2011,"3,373 followers","Sector-V, Salt Lake, Kolkata, West Bengal 700091, IN","Dipika Gupta Khemka, Anamika Saha, Sujoy Biswas, vineeth nambiar"
W3villa Technologies,Software Development,https://www.w3villa.com/,"Ruby on Rails, NodeJS, AngularJS, Mongodb, ionic, blockchain technology, iOS Apps Development, Android Apps Development, DevOps, AI, Chatbots, Spree Commerce, Wordpress , Smart Contracts, Cryptocurrency Wallet Development, ReactJS, React Native, GraphQL, Python, and PHP MySQL",51-200 employees,"Dover, Delaware",Privately Held,2014,"6,087 followers","8 The Green, STE A, Dover, Delaware 19901, US  ;  H-51, 3rd Floor, Sector-63,  Noida, Uttar Pradesh201301, IN  ;  118/362 (Ground Floor), A Block, Kaushalpuri,, Kanpur, UP 208001, IN","Shirish Kasa, Arvind Singh Chauhan, Shubham Dixit, Pradeep Bisht"
